	S01	S02	S03	S04	S05	S06	S07	S08
Pathway_001_Metabolism_Process	86.03713512452349	64.58205100100447	53.71499051991132	45.94350723773498	45.183438152346014	88.41500160935541	63.639627144261866	55.78445915619863
Pathway_002_Metabolism_Process	115.84978453069478	86.96031872967534	72.32772300929753	61.86335012634454	60.839910193769946	119.05160336754744	85.69133643985131	75.1142813397199
Pathway_003_Metabolism_Process	65.32736393896445	49.036676355636025	40.78539725426157	34.88456715356703	34.3074522869679	67.13286047285129	48.321100852278306	42.35672956986397
Pathway_004_Metabolism_Process	35.26732912039522	26.472713725603473	22.01821628094469	18.832621383235917	18.5210628155331	36.24203614432797	26.086406437726566	22.86650849098455
Pathway_005_Metabolism_Process	54.5369289870573	40.9370526364304	34.04867699610173	29.12251538843394	28.64072536049866	56.04420297329929	40.33967218115964	35.36046479441458
Pathway_006_Metabolism_Process	31.87755950569269	23.92825110697341	19.901904034437422	17.02249713163297	16.74088445981566	32.758581174500165	23.579074294781602	20.66866142940338
Pathway_007_Metabolism_Process	91.25816391904371	68.50111161822984	56.974600591724375	48.73151701818954	47.92532433076644	93.78032750731664	67.50149824575576	59.16965169102344
Pathway_008_Metabolism_Process	328.24625332361256	246.39147087304394	204.93179323039328	175.28226728500456	172.38247489669527	337.31821699860234	242.79596412388472	212.82716684143784
Pathway_009_Metabolism_Process	52.52778853102684	39.42893162319881	32.794323740467995	28.049641925717363	27.58560104234185	53.97953454383271	38.853558663814205	34.057785276479876
Pathway_010_Metabolism_Process	46.20435019173543	34.68236937727132	28.84645367300608	24.67294958597211	24.264771208805133	47.48133106302259	34.17626138282266	29.957816265954367
Pathway_011_Metabolism_Process	140.24500147410265	105.27209936415937	87.55822603511048	74.89030441280948	73.6513523039728	144.12104741854063	103.73589950131174	90.9315674594462
Pathway_012_Metabolism_Process	122.78512317971538	92.16619167851346	76.65761671444406	65.56679493487118	64.4820868476074	126.17861866073568	90.8212418592271	79.61099215000839
Pathway_013_Metabolism_Process	95.48442092148223	71.67346672837853	59.613151427850326	50.988322395298354	50.14479411679807	98.12338843247805	70.6275602591148	61.90985754277466
Pathway_014_Metabolism_Process	33.888672322288606	25.43785263313058	21.157488680783118	18.096423827488746	17.797044586887946	34.82527647599493	25.06664672043214	21.972619779638183
Pathway_015_Metabolism_Process	83.45412093768637	62.64316317414696	52.10235450689274	44.564187356658444	43.82693712998316	85.76059891270987	61.729032846570064	54.10969337980511
Pathway_016_Metabolism_Process	172.2336608012932	129.28374532531748	107.52949227982938	91.97212843213707	90.45058217366433	176.99379895543507	127.397151697597	111.67226340563863
Pathway_017_Metabolism_Process	22.40612381696283	16.818707747388263	13.988665785700556	11.964786022504361	11.766845888723493	23.02537701271648	16.573278078075443	14.527604819791641
Pathway_018_Metabolism_Process	54.37655531145934	40.816671351283055	33.94855196925234	29.03687644758691	28.556503192452766	55.879396941978406	40.221047579073144	35.25648226706548
Pathway_019_Metabolism_Process	12.836929237073354	9.635783635578697	8.01439438070767	6.854872032409944	6.741468058064404	13.191712131190142	9.49517192944942	8.323163639515672
Pathway_020_Metabolism_Process	23.665330136766258	17.76390573252146	14.774817665734211	12.637197471164983	12.428133259456326	24.319384869100777	17.504683111192904	15.344044644463112
Pathway_021_Metabolism_Process	13.623739406939272	10.226386919205538	8.505618324347225	7.275025710024144	7.154670898864719	14.000267905789892	10.077156740672034	8.833312887524006
Pathway_022_Metabolism_Process	67.92863864150242	50.9892710726008	42.40943373321082	36.27363808149156	35.67354303916782	69.80602836341852	50.245202020102184	44.04333503607062
Pathway_023_Metabolism_Process	24.19394443824699	18.160699462678547	15.10484390558554	12.919475524134786	12.705741429031375	24.862608841499476	17.895686565697396	15.686785751168435
Pathway_024_Metabolism_Process	112.7094436689661	84.60308480505466	70.36713495190921	60.18641989266151	59.19072235298655	115.8244707818121	83.36850082640305	73.07815802756987
Pathway_025_Metabolism_Process	100.51429338204527	75.4490396749496	62.75341814110699	53.67425541087704	52.78629224324207	103.29227487961377	74.34803755662286	65.17110879702743
Pathway_026_Metabolism_Process	71.28015151839085	53.50501703778737	44.50186140585318	38.063333378688824	37.43363040807553	73.25016926809867	52.724236561938966	46.216377326724086
Pathway_027_Metabolism_Process	6.936443246552031	5.20670209283514	4.330583331153296	3.704034659462589	3.64275674654012	7.1281504192286045	5.130722463957093	4.497427005403379
Pathway_028_Metabolism_Process	50.14184843977345	37.637973516148264	31.304725682637933	26.775558872014457	26.33259585577535	51.52765261281912	37.08873539795173	32.51079771840945
Pathway_029_Metabolism_Process	81.86306465049674	61.44886866241046	51.1090209508725	43.714569270929026	42.991374750493335	84.12556952698186	60.55216626755468	53.0780898246718
Pathway_030_Metabolism_Process	96.2412287814955	72.241549379464	60.08564422955939	51.39245495205737	50.54224088308831	98.90111270309912	71.18735307371031	62.40055399721723
Pathway_031_Metabolism_Process	18.604678623078396	13.965229106640376	11.615334871602485	9.934828556739086	9.770471142414069	19.11886870733513	13.76143927849185	12.062836974536774
Pathway_032_Metabolism_Process	53.292498353794166	40.002945724243084	33.271749921860234	28.45799410092901	27.98719761958132	54.76537916909606	39.41919637274107	34.55360517811614
Pathway_033_Metabolism_Process	32.298790232095364	24.244439508834475	20.164888203339228	17.24743275854835	16.96209885109841	33.19145373933975	23.890648667070668	20.941777546279383
Pathway_034_Metabolism_Process	38.27173422926133	28.72791020195807	23.893936476731604	20.43696243509103	20.098862357842027	39.32947602887427	28.308693600610688	24.814494251338452
Pathway_035_Metabolism_Process	248.25277394360296	186.3459689210031	154.98999797729695	132.56604953149733	130.37293537720225	255.11390373450865	183.6266857146485	160.96127222770113
Pathway_036_Metabolism_Process	38.32161809748685	28.7653545277972	23.925080139348356	20.463600233496894	20.12505947227994	39.3807385712992	28.345591514166163	24.846837780740636
Pathway_037_Metabolism_Process	83.18168143488627	62.43866192199509	51.93226416986586	44.418705684696384	43.683862242526615	85.48062981513752	61.52751581148431	53.933050000240094
Pathway_038_Metabolism_Process	208.0833500550218	156.19359601250682	129.9112895772259	111.11572794083062	109.2774784299411	213.83429031391415	153.91431610623204	134.9163605393077
Pathway_039_Metabolism_Process	47.939913311115646	35.98513504617755	29.93000621539709	25.599733777721223	25.176223092349506	49.26486111398312	35.4600162363848	31.083114659560152
Pathway_040_Metabolism_Process	76.84934169806286	57.68541802042484	47.97883675227423	41.0372600320782	40.35835773282508	78.97327892285236	56.84363437797328	49.827309532467225
Pathway_041_Metabolism_Process	95.96782669653703	72.03632558430841	59.91495293003607	51.24645926483555	50.39866048401338	98.62015441983436	70.9851240394446	62.22328650197217
Pathway_042_Metabolism_Process	91.59078147754263	68.75078432171672	57.18226149274887	48.90913354603156	48.100002449244805	94.1221378422077	67.74752756058439	59.38531310954769
Pathway_043_Metabolism_Process	25.241589901984447	18.947093531613305	15.758913407916578	13.478914269696674	13.255925067152942	25.93920879137367	18.670605054035406	16.36605448201883
Pathway_044_Metabolism_Process	92.7297254300299	69.60570977129568	57.89333077140418	49.51732534191993	48.69813258876788	95.29255955890461	68.58997737448856	60.12377763776297
Pathway_045_Metabolism_Process	334.41150155143265	251.01929088246962	208.78090152102791	178.57448669895098	175.62022928719645	343.6538583608566	247.3562519333571	216.82456909634655
Pathway_046_Metabolism_Process	18.290909272234867	13.729704432447068	11.419441346305465	9.767276901043031	9.605691387283667	18.796427500760252	13.529351535587823	11.859396291496076
Pathway_047_Metabolism_Process	202.9442968210072	152.33606870670272	126.70285876015033	108.3714928020114	106.5786427048249	208.55320559045904	150.11308038152015	131.5843190339798
Pathway_048_Metabolism_Process	96.8247728260528	72.67957502028047	60.44996438940641	51.70406528166507	50.8486960690759	99.50078454902926	71.61898675565628	62.77891026015341
Pathway_049_Metabolism_Process	45.2443798110742	33.9617868521374	28.247121770311008	24.16032900570654	23.760631196938007	46.49482933178463	33.466194072859395	29.335394001270043
Pathway_050_Metabolism_Process	635.2161913772633	476.81230213925534	396.58028650698685	339.20306207115095	333.5914364759286	652.7720908143198	469.8543427409481	411.8592702087865
Pathway_051_Metabolism_Process	184.16066676726996	138.23651329544066	114.97580033583479	98.3411048529497	96.7141930624556	189.25043965076256	136.21927497638336	119.40545415172521
Pathway_052_Metabolism_Process	25.90043985458795	19.441646042915146	16.170248802882025	13.830737671559255	13.6019280580946	26.61626782565524	19.15794072911358	16.793237328331404
Pathway_053_Metabolism_Process	92.57925442269935	69.49276172559972	57.79938821136212	49.43697438876052	48.6191109262776	95.13792988259057	68.47867754112383	60.02621576810664
Pathway_054_Metabolism_Process	152.96948195330916	114.82347559350534	95.50241603309375	81.68512923056667	80.33376654197414	157.19720296950086	113.14789575303637	99.1818219634902
Pathway_055_Metabolism_Process	71.14832113470416	53.40606120260745	44.41955662199772	37.992936448592346	37.364398093688415	73.11469539894962	52.62672475553162	46.13090159995016
Pathway_056_Metabolism_Process	170.1123533253068	127.69142838676895	106.20511053702134	90.83935820175472	89.33655199350295	174.81386347023064	125.82807089737365	110.29685742448139
Pathway_057_Metabolism_Process	80.4013955257488	60.351696030796894	50.19646681868936	42.93404344432128	42.223761598316	82.6235032642002	59.471004302170684	52.130377868998636
Pathway_058_Metabolism_Process	167.46869098541916	125.70701623942173	104.5546104672621	89.42765243457681	87.94820086282994	172.0971364465163	123.87261660008359	108.58276880903878
Pathway_059_Metabolism_Process	362.15469149675056	271.844160345939	226.10162219295657	193.38924600266074	190.189899758311	372.163805607633	267.87723117513593	234.81260233486984
Pathway_060_Metabolism_Process	43.72353880307477	32.82019803236924	27.297625251060953	23.34820561552929	22.961943217322712	44.931955812399906	32.34126406961479	28.34931638523801
Pathway_061_Metabolism_Process	105.28673774413407	79.03137937914582	65.73296648724126	56.222722788062136	55.292598902080236	108.19661851383562	77.87810139859633	68.26544971396818
