,Log2_Ratio,Mean_DNA,Mean_RNA
Pathway_027_Metabolism_Process,7.105754161604083,429.6514516956028,59314.89121118584
Pathway_124_Metabolism_Process,6.574517432358709,721.9729843922094,68903.72809776585
Pathway_046_Metabolism_Process,4.749742032075764,1132.960429764157,30506.928731175998
Pathway_052_Metabolism_Process,4.3872452335878025,1604.3037025654253,33592.0642842587
Pathway_113_Metabolism_Process,3.6132515286290086,1893.2650954969195,23180.303279391344
Pathway_062_Metabolism_Process,3.2878385119214233,3349.0313602761917,32717.010357617255
Pathway_146_Metabolism_Process,3.1992430308617124,1483.2766343224343,13631.73417552092
Pathway_020_Metabolism_Process,3.149268042774178,1465.8583782360733,13013.04580612446
Pathway_018_Metabolism_Process,3.0982006538442453,3368.147780836817,28850.69883685741
Pathway_085_Metabolism_Process,2.9564098270730295,4369.700653476597,33923.94094861528
Pathway_143_Metabolism_Process,2.9091386908165395,5057.075347782078,37993.72469555255
Pathway_009_Metabolism_Process,2.739336480823271,3253.6329923745498,21732.239779533527
Pathway_087_Metabolism_Process,2.7196050398231124,5261.716300191734,34664.11555713431
Pathway_055_Metabolism_Process,2.6911303370454096,4407.010678913262,28466.779393041958
Pathway_043_Metabolism_Process,2.6058059914864273,1563.4937617176593,9522.56613627608
Pathway_036_Metabolism_Process,2.369055723718863,2373.6860897829893,12266.697048684997
Pathway_096_Metabolism_Process,2.3231154008496966,9538.7370171698,47736.956201233166
Pathway_123_Metabolism_Process,2.3180585759463685,4727.369470564063,23577.521425763123
Pathway_118_Metabolism_Process,2.2970121644815076,2256.96785911886,11095.533219001369
Pathway_138_Metabolism_Process,2.20795208083322,4047.3504704504303,18703.147048009385
Pathway_129_Metabolism_Process,2.1174359512824728,928.562357548325,4032.576182956802
Pathway_144_Metabolism_Process,1.8973738429999698,2407.7250310793233,8972.330537273585
Pathway_019_Metabolism_Process,1.8670300895105238,795.1344927047292,2903.1463620258055
Pathway_033_Metabolism_Process,1.66807972542416,2000.6250491748237,6359.9906885094515
Pathway_116_Metabolism_Process,1.5716812197706387,1854.2756086575203,5513.823603540427
Pathway_013_Metabolism_Process,1.450131077338847,5914.417318071701,16161.86480870011
Pathway_103_Metabolism_Process,1.237942352781733,6271.600154196221,14793.673507464264
Pathway_145_Metabolism_Process,1.2270107743360843,2845.9747702948016,6663.240576631093
Pathway_097_Metabolism_Process,0.9907505187722483,1463.8727451580512,2910.0222380425466
Pathway_148_Metabolism_Process,0.9519150428000345,4562.593268781613,8826.99161705893
Pathway_127_Metabolism_Process,0.8914494043507242,633.4410693619791,1175.9128340572915
