,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10
gene_0001,6.008647821556412,8.582839455939796,7.2066943952517395,5.642503094324155,5.409908117004693,4.449728152528009,7.223939016018426,6.147651831805663,3.7123615026095758,5.875483541397497
gene_0002,1.5659592086995824,2.236838783361677,1.8781911983659727,1.4705354587388746,1.4099171203959335,1.1596773489806695,1.882685449567257,1.602186096405509,0.9675066427054205,1.5312542572733079
gene_0003,9.383321935162783,13.403272770285191,11.25423483073503,8.811537075654625,8.448308339754929,6.94885655127515,11.281164654733551,9.600395629142326,5.797358100057064,9.175367775074957
gene_0004,11.348066440804208,16.209742239732666,13.610723950651538,10.65655733343477,10.217273265736674,8.403855945300677,13.643292526480657,11.610592518333267,7.011248825860594,11.096569407917064
gene_0005,0.629674327792167,0.8994359172754922,0.7552232355262716,0.5913043081402417,0.566929591841171,0.4663078393859317,0.7570303800472632,0.644241208613523,0.38903573700741606,0.6157194196189546
gene_0006,1.2047874345551093,1.720935797272537,1.4450064490264969,1.1313721538299748,1.0847347880969085,0.8922101485327558,1.4484641491664247,1.232658977350521,0.7443615641483224,1.1780868096838248
gene_0007,5.034544516147209,0.0,6.038367503749834,4.727758033839133,4.53287063116161,3.7283520575604125,0.0,5.151013628384438,3.1105249966335675,4.922968415112368
gene_0008,3.2292181949883028,4.6126619763521255,3.873082490103244,3.032441607261587,2.9074384526203247,2.391410437027929,3.88235023965343,3.303922902670263,1.9951286323676922,3.157651924309403
gene_0009,4.356554522774251,6.22296549248152,5.225195084532888,4.091082237696899,0.0,3.2262638589775783,5.237698252104985,4.457339019972203,2.691638081424027,4.26000410673605
gene_0010,1.8878502121890586,2.6966325484996547,2.2642631000020184,1.7728116175625765,1.6997328666809988,1.398055017768986,2.269681167750425,1.9315237237739336,0.0,1.8460114787468822
gene_0011,10.674744562405566,15.247959529863271,12.803150408090517,10.024265194642654,9.61104544152678,7.905224737914086,12.833786572370194,10.921694017029518,0.0,10.43816975926378
gene_0012,9.643408170657143,13.774783710889732,0.0,9.05577461996587,8.682477936361053,7.141464452176306,11.593855156809006,9.866498697511238,5.958048850569018,9.42968995227244
gene_0013,4.732782769857254,6.760375362289238,5.676438372558736,4.444384529890171,4.261178335467589,3.5048811906200674,5.690021302772168,4.842270928289262,2.9240855974282915,4.627894344139317
gene_0014,13.67711314282012,19.536586235660305,16.404152407796477,12.843680562026023,12.314239011160435,10.128640786464532,16.443405270725943,13.993519367971833,8.450218719107564,13.373999533834478
gene_0015,7.070929891490279,10.100218529224229,8.48078175515725,6.640053632257715,6.366337677090837,5.236405383893196,8.501075090374723,7.234508726578978,4.368678061417877,6.914223205224456
gene_0016,1.8760906916302924,2.6798350792466525,2.2501588833099246,1.7617686786000764,1.6891451391901782,1.3893464578326145,2.2555432016227748,1.9194921585613913,1.1591171700937544,1.83451257391011
gene_0017,6.405989675335279,9.150408306933988,7.683261069762772,6.015632408278689,5.767656313241493,4.743981249971073,7.701646048524575,6.554185788825626,3.9578537739409487,6.264019463541355
gene_0018,1.6982529642419513,2.4258090972432753,2.036862615780987,1.594767723164421,1.5290282886974085,1.2576480182431684,2.041736545690673,1.7375403346217584,1.0492425439757862,1.660616104797517
gene_0019,10.664633181172498,15.233516286661386,12.791022948365024,10.014769963504163,9.601941622326285,7.897736714140699,12.821630093314567,10.911348719184545,6.588998862473234,10.428282467516949
gene_0020,4.214608667831403,6.020207980210646,5.054947064075456,3.957786037032896,3.7946383810847846,3.121145288937932,5.067042851732706,4.312109390765779,2.603938761544711,4.121204070645689
gene_0021,3.682604667289867,5.260285771059943,4.41686835438648,3.4582003884150536,3.3156466268196603,2.727167600650984,4.427437308135644,3.7677980139658755,2.2752473105731172,3.600990398290741
gene_0022,2.242414329234969,3.2030970616176546,2.689522710975568,2.1057699115052633,2.01896597066219,1.6606288913508718,2.6959583660277264,2.294290324244326,1.3854452575647294,2.192717708824079
gene_0023,15.044673285986157,21.490028924217775,18.044386335897034,14.127906658920143,13.545526804807434,11.141392914737027,18.08756405126334,15.392716636461664,9.295147191996124,14.711251666372
gene_0024,3.796020090644361,5.42229000219275,4.552897344618133,3.5647046962438407,3.4177606194550396,2.8111578455811075,4.563791796885919,3.8838371888096535,2.34531949053229,3.711892297195402
gene_0025,2.886817929988389,4.123572485431642,3.462412045772157,2.7109059453064517,2.5991571174683212,2.137844552680839,0.0,2.953601552701009,1.7835812759543583,2.8228399697195883
gene_0026,3.1153736749397694,4.450044817295201,3.736538846852844,2.9255343503008513,2.8049381212017446,2.3071024228265276,3.74547986639107,3.1874447044129863,0.0,3.046330438396422
gene_0027,7.544296451887451,10.776382170754973,9.048531478393691,7.084574988994307,6.79253499693108,5.586958881588296,9.070183360002982,7.718826145167079,4.6611411658682185,7.377098966503655
gene_0028,6.384841847199888,9.120200443348324,7.657896638526129,5.995773250405584,5.74861578857033,4.72832014134672,7.67622092371975,6.53254872700469,3.9447878753619077,6.243340315780352
gene_0029,6.6940245281471595,9.561841456756913,8.02872634265654,6.286115484759489,6.026989550016819,4.957286611098778,8.047937971931377,6.848884037599699,4.135812198322636,6.545670857882301
gene_0030,6.816210405439217,9.73637353114786,8.17527450177822,6.400855807570515,6.137000053041179,5.047771850735766,8.19483680048477,6.973896561991707,4.21130308420786,6.665148839008967
gene_0031,37.71772926741296,53.876550025685,45.238156101929484,35.419350646370766,33.959295964513394,27.932015114702363,45.3464047390128,38.59029091212388,23.303387094157348,36.88182501469494
gene_0032,2.9507743841357286,4.214928809586383,3.539120588747541,2.7709651301922262,2.6567405456707927,2.1852077603453495,3.5475892137583,3.019037574942838,1.8230959030836442,2.8853790142548195
gene_0033,2.6544565017873603,3.791664060569802,3.1837207574790636,2.4927037612938974,2.3899496528547703,1.9657683685985587,3.1913389599556288,2.715864677093774,1.640019921326415,2.595628159742493
gene_0034,1.9634633459233977,2.8046394423758607,2.354952513539577,1.8438171671867247,1.7678114291279494,1.454050626077313,2.360587588484104,2.008886091134327,1.2130991786606202,1.9199488663194693
gene_0035,8.202689415200135,11.716840202387369,0.0,7.702847925451878,7.385321517656378,6.074534421257706,9.861740921170629,8.39245036598366,5.067920322040819,8.020900556245286
gene_0036,13.700809903166414,19.57043503088316,16.43257399532247,12.865933329628698,12.335574476301893,10.146189517022231,16.47189486717137,14.017764328980883,8.464859440857063,13.397171124104686
gene_0037,3.9532388214468632,5.646863511244736,4.741463454623478,3.712343100321424,3.559313080703021,2.927586804863232,4.752809119455327,4.0446930164627055,2.4424549494664043,3.8656267300765474
gene_0038,1.9123372373106269,2.7316101693577113,2.293632520866875,1.795806494134233,1.721779849613035,1.416188982063615,2.299120865568511,1.9565772315371972,1.181511606376658,1.8699558198619344
gene_0039,1.942549799412133,2.7747662300506923,2.329869076649357,1.824178014683935,1.7489818407768487,1.4385630156458078,2.3354441304062252,1.9874887308067208,1.200178027803198,1.8994988080087865
gene_0040,8.4915830476778,12.129500045506083,10.184694755610208,7.974137450748691,7.6454279598553905,6.288475755098264,10.209065318458089,8.68802726142538,5.246409331783,8.303391697887431
gene_0041,0.0,13.307155380888315,11.173528596509325,8.748347886357264,8.3877239320245,6.899024994277916,11.20026530167605,0.0,5.755784154982121,9.109569487417064
gene_0042,7.626560243735636,10.893888960874506,9.147197605158116,7.161825930277463,0.0,5.647879661336335,9.169085581132626,7.8029930269124925,4.711966733114858,7.457539619610824
gene_0043,2.2772599594694793,3.2528710638433953,2.7313161086863045,2.13849217818838,2.0503393617222416,1.686433962050941,2.7378517695461944,2.3299420730076807,1.4069741572537207,2.2267910865644063
gene_0044,5.588125938495306,7.982159915848518,6.7023258937621355,5.2476062561552155,5.031289696336281,4.138308991781391,6.718363630615362,5.717401598892972,3.4525477648031617,5.46428130819971
gene_0045,4.978698266138786,7.111644614040031,5.97138623460511,4.6753148473124675,4.482589255018886,3.6869948939762724,5.985674934169646,5.093875431678673,3.076021149053651,0.0
gene_0046,5.513343539553051,7.875339655564873,6.612632852777578,5.177380819424035,4.96395908900806,4.082928587442643,6.628455966616096,5.640889184536643,3.4063444746202958,5.391156244588039
gene_0047,10.590013488705152,15.126928438659846,12.701525055419694,9.94469731851838,9.534757508369855,7.842476802732057,12.731918044316739,0.0,6.542896098277513,10.355316504462307
gene_0048,5.54046373624821,7.914078536784203,6.645160465532639,5.20284841185342,4.988376857629737,4.103012557467247,6.661061413439823,5.668636779643447,3.4231003200524595,5.417675400653438
gene_0049,8.735509045831789,12.47792746935587,10.477256439363073,8.203199502685273,7.8650476274663825,0.0,10.502327061768149,8.937596241653608,5.397115698993239,8.541911782611164
gene_0050,4.740116554085496,6.770851045754942,5.685234418401871,4.451271420490167,4.267781335011413,3.5103122538333085,5.698838396333785,4.849774372222701,2.9286166764740127,4.635065596276048
gene_0051,5.915653978704914,8.450005705770268,7.095158784250126,5.555175951574964,5.326180769319426,4.380861190636259,7.112136515759656,6.052506670143555,3.654906518986954,5.784550637797274
gene_0052,8.32922888631898,11.897591013169828,9.989969276690838,7.821676550218453,7.499251794859743,6.168243732198429,10.013873888458596,8.521917200206936,5.1461010167816355,8.144635646397955
gene_0053,1.0318226850958843,1.4738704474246833,1.2375547681288406,0.9689472351100955,0.929005341165741,0.7641204122192857,1.2405160651512934,1.0556928627721198,0.6374976413040954,1.0089553230548782
gene_0054,3.2181653787426048,4.59687397376151,3.859825885413607,3.0220623086707117,2.8974870089512774,2.3832252297943217,3.8690619137462714,3.292614390662669,1.9882997998675176,3.1468440617309517
gene_0055,2.7679583788299404,3.9537917834011176,3.3198534391447763,2.599289254643459,2.4921414843854914,2.0498226371528308,3.327797388259193,2.8319923056445617,1.7101455155233565,2.7066145963395813
gene_0056,2.3387224228756605,3.3406649355509876,2.8050333914597445,2.1962093468848023,2.105677316208327,1.7319502349070466,2.8117454475593466,2.392826408546658,1.4449479060539214,2.2868914124415887
gene_0057,3.364705377071974,4.806193826894269,4.035584061962372,3.1596727026514233,3.0294248342276737,0.0,4.045240655249646,3.442544444131669,2.078837548882987,3.2901364253225998
gene_0058,19.755342609122255,28.218817119366967,23.694302126790504,18.551525253569,17.786795217366485,14.629897904030807,23.750999307508618,20.212362545731647,12.20557029650827,19.317522644304432
gene_0059,1.8638636038615637,2.6623697302281606,2.235493872560414,1.750286664240354,1.6781364358459638,1.3802916391306839,2.2408430995352604,1.906982209442822,1.1515628298711817,1.8225564641366836
gene_0060,11.666961103862496,16.66525598886039,13.993202080372004,10.956019737707244,10.504391245918384,8.640014662210438,14.026685873350184,11.93686448795513,0.0,11.408396694168822
gene_0061,0.8233391146337461,1.1760694999206336,0.9875022732295178,0.7731678806889458,0.741296393395677,0.6097270710923908,0.9898652292914959,0.8423862350721533,0.5086888969916765,0.805092187241273
gene_0062,3.169575367350797,4.527467298695281,3.8015476549095175,2.9764331924745644,2.8537388138763657,2.347241702710889,3.810644231514541,3.2429002983391597,1.9582791208296864,3.0993309072430697
gene_0063,5.213418176025373,7.44692192825403,6.252906255293475,4.8957317958783575,4.693920187273314,3.8608176610943894,6.2678685932459794,5.334025350067759,3.2210396595799087,5.097877858270821
gene_0064,7.962197158810258,11.373317584938246,9.54975617516286,7.477010375783443,7.168793432044037,5.896436919872473,9.572607417996677,8.146394563673825,4.9193354455741805,7.785738114342299
gene_0065,9.02238972446095,12.887711980082507,10.821337410686711,8.47259873608011,8.123341699280648,6.681566760491888,10.847231371163044,9.231113615588729,5.574361032521464,8.822434581698094
gene_0066,9.794587043558792,13.990729799557094,11.74750087655104,9.197741212696384,8.818592389382598,7.253420570556975,11.775611017825508,10.021174941239464,6.051452665276635,9.577518383213926
gene_0067,3.126010475673594,4.465238577311509,3.7492964879242434,2.935522983823188,2.81451500377796,2.3149795481105766,3.7582680347292143,3.1983275768092105,1.9313631438027765,3.056731505242194
gene_0068,2.790249065732482,3.9856321229798106,3.3465886003886323,2.620221629706443,2.5122109861417834,2.0663300944036256,3.3545965230381403,2.854798665118151,0.0,2.7284112747124536
gene_0069,10.448501141022547,14.924790154429648,12.531796977957004,9.811808208788971,9.407346346804022,7.737679268226113,12.56178383109072,10.690216682160685,6.455464614975048,10.21694036819904
gene_0070,3.6589577185476077,5.226508127452753,4.388506510253386,3.4359943970818883,3.2943560097386935,2.709655758275679,4.399007598040779,3.7436040169021054,2.2606373642470894,3.577867515694599
gene_0071,1.237132661307074,1.7671381869985792,1.483800895176305,1.1617463823510439,1.1138569317053328,0.9161635354431638,0.0,1.265752478317329,0.7643456234830013,1.2097151981445606
gene_0072,1.4264594162391888,2.037575262119997,1.7108769535775854,1.3395362665759598,1.2843179703102043,1.0563702202859413,1.7149708449825474,1.4594591168712838,0.8813185893310681,0.0
gene_0073,1.7665533165420142,2.5233703083484595,2.1187811739545435,1.658906105150122,1.590522761543161,1.308228117041245,2.1238511236191933,1.8074207467211467,1.091440989620042,1.7274027775612277
gene_0074,7.283732227408803,10.404188463771758,8.736014121424187,6.839888582575814,0.0,5.393997004034963,8.756918192316332,7.452234030020572,4.500155096349954,7.122309393563643
gene_0075,5.108513141155587,7.29707405912498,6.127084514815109,4.797219285003719,4.5994685541420335,0.0,6.141745778782822,5.226693442967266,3.156225507636547,4.99529773973302
gene_0076,8.837181663344442,12.623158106779092,10.599201260317685,8.29867656773559,7.9565889417676665,6.544410190810995,10.624563679776514,9.041620952679898,5.459932745745324,8.641331120962679
gene_0077,2.8899234360257764,4.128008435172734,3.4661367495022986,2.713822213316458,2.6019531712258392,2.140144347585249,3.4744307343020457,2.956778901490021,1.7854999707092676,2.825876651208045
gene_0078,5.19149830601712,7.415611268890545,6.226615847031171,4.875147641502555,4.674184551868638,3.8445848137763035,6.241515275680822,5.3115983859635,3.20749676540846,5.076443778709523
gene_0079,8.281905289488218,11.82999330297971,9.933209967413319,7.777236677973959,7.456643820782427,6.13319805347829,9.956978762021395,8.473498819668714,5.116862774791605,8.098360840059438
gene_0080,3.2515640140095847,4.644581067446646,3.8998837760964493,3.0534257548963426,2.9275575927820525,2.4079587225895445,3.9092156574090864,3.326785669688584,2.008934693355537,3.1795025129572463
gene_0081,6.995435695921166,9.992381528343524,8.390234994515014,6.569159773147846,6.2983662010574335,5.180497855718358,8.410311663884972,7.157268048898365,4.322034997350151,6.840402119897063
gene_0082,2.2854357681340858,3.264549507192838,2.741122067735608,2.146169783376546,2.0577004810574526,1.692488589824941,2.747681192896297,2.3383070207640033,1.412025469668853,2.234785702104058
gene_0083,3.0815379563020433,4.401713387401424,3.695956724034627,2.8937604549450406,2.774474007754086,2.28204524619468,3.704800636178044,0.0,1.9038864013239276,3.0132445904866634
gene_0084,3.0244968933021297,4.32023510798421,3.6275424116587356,2.8401952629020193,2.723116877349682,0.0,3.6362226178355566,3.0944655800417853,1.8686443547541294,2.9574676774784723
gene_0085,1.3399643508910084,1.9140244597329543,1.6071358921651693,1.2583118899167103,1.2064418207996204,0.9923159540409189,1.6109815455897378,1.370963075378848,0.0,1.3102679210911354
gene_0086,7.209900393629692,10.298726004515892,8.647461175988077,6.770555787089998,6.491460278693653,5.3393205445258785,8.668153351956134,7.376694171194205,4.454539099951342,7.0501138285907565
gene_0087,0.0,3.9576300651460423,3.3230763030560198,2.6018126056549518,2.4945608179491465,2.0518125742156643,3.3310279640370544,2.834741561286742,1.7118056991326591,2.7092421371825997
gene_0088,4.486068806862801,6.407965569136881,5.380532839875691,4.2127044013569295,4.039048513481058,3.3221761795492397,5.39340770916493,4.589849486464435,2.7716567239817516,4.3866480817429006
