	S01	S02	S03	S04	S05	S06	S07	S08
Alteromonas sp. strain_001	69.50689855069687	42.04912896905108	33.9245651126278	52.64611058564853	52.83427519944658	50.279588315701425	80.36411005603271	104.06205428278153
Vibrio sp. strain_002	341.07136435984205	206.33568878284268	166.46833551116998	258.33523204303924	259.25855854573933	246.72267276865168	394.3478594773348	510.63401723252963
Pelagibacter sp. strain_003	290.0519314651328	175.4707997078004	141.56703636913605	0.0	220.4771596589415	209.81646438452265	335.35901943930264	434.2504192578113
Roseobacter sp. strain_004	36.16262744467872	0.0	17.650066899415762	27.390398985095796	27.48829612867339	26.159159137367407	41.811351570517346	54.14077420547535
Flavobacterium sp. strain_005	6.998608114160536	4.233901689363081	3.415844205642865	5.300905441133636	5.319851623748365	5.062621726766591	0.0	10.477946112765911
Pseudomonas sp. strain_006	35.4291049129514	21.43331140945863	17.292053041683168	26.834812286112033	26.930723684579824	25.628546900531088	40.96325035038712	53.042583045952156
Shewanella sp. strain_007	19.82505081833657	11.993429948110785	9.676107571642916	15.015945747989136	15.06961485290594	14.340956283019601	22.92179048485638	29.681018106597108
Marinobacter sp. strain_008	62.37205632729807	0.0	30.442228472337693	47.24201832234264	47.41086794929091	45.118418170434175	72.11478146233297	93.3801456631807
Candidatus_Actinomarina sp. strain_009	163.47456723709195	98.8961283590947	79.78781554248725	123.8193664824179	124.26191433667924	118.2534987483775	189.0098448749194	244.74548058381066
Synechococcus sp. strain_010	7.268899669533645	4.397418184964441	3.5477667005440066	5.505630431188554	5.525308329750766	5.258144018981343	8.404326264141805	10.88261234149857
Prochlorococcus sp. strain_011	437.13987164725415	264.453618614602	213.3569523060578	331.0997110215157	332.2831080200775	316.21627839963713	505.42259095788313	654.4627080338722
Nitrosopumilus sp. strain_012	59.42268729711226	35.94855034455879	29.002715793855465	45.008098936516554	45.16896422095949	42.98491683861083	68.70471106241682	88.96450625876547
Nitrospina sp. strain_013	150.93493208372004	91.31010816853197	73.66753571243726	114.32156075732726	114.7301621162766	109.18263375098775	174.511476503713	225.97180169401392
SAR86 sp. strain_014	56.628652548522915	34.25826161153826	27.63901786268783	42.89183327912873	43.045134732061854	40.96378052224402	65.47423868171867	84.78142512957922
SAR11 sp. strain_015	42.32916829311772	25.607597142487222	20.65980004669414	32.06107769767063	32.17566850477531	30.619883779905216	48.94112685530459	63.372993192187934
SAR116 sp. strain_016	17.444194364118818	10.553098956688695	8.51407155091587	13.212630756371714	13.259854559533476	12.618703026826097	20.16903623881827	26.11652567858855
Rhodobacter sp. strain_017	179.43462217181565	108.55137729548403	87.57751604882243	135.90787617809423	136.3936300685276	129.79861165581914	207.4629141100393	268.6400311622977
Bacteroides sp. strain_018	52.31896065689498	31.65105579533054	25.53556588538147	39.62757432573535	39.76920885743784	37.8462549442538	60.491358410722796	78.32918224549282
Sphingomonas sp. strain_019	194.37985126029997	117.59269374776864	94.87190564046307	147.22773362715472	147.75394628237538	140.60962439730628	224.74263828595755	291.0152381288423
Loktanella sp. strain_020	151.9016116725086	91.89491392951801	74.13934765249938	115.05374593021529	115.46496422209192	109.88190609331546	175.62915469799557	227.41906327437636
Winogradskyella sp. strain_021	23.476171225895662	14.202224126821086	11.4581274082774	17.781387635713056	17.84494081941547	16.98208737663659	27.143228189300817	35.14728257770228
Polaribacter sp. strain_022	1.6258235660919989	0.9835637359313534	0.7935235002508935	1.2314358579933309	1.2358371831825758	1.1760809542875466	1.8797826794387877	2.4340970999517393
Aurantivirga sp. strain_023	16.074801747494153	9.724666557223799	0.0	12.17542154932575	12.218938220703214	11.628117941861763	18.585739886268815	24.066343440897445
Cytophaga sp. strain_024	29.835999407602948	18.049687342843605	14.562199230703593	22.59846658386487	22.679236686155015	21.582631342810036	34.496482939394376	44.66888114235802
Planctomyces sp. strain_025	6.659110909186553	4.028518309378558	3.25014417764788	5.043762513319894	0.0	0.0	7.699286446954131	9.969668843753727
Ruegeria sp. strain_026	25.116632847711518	15.19464335056477	12.258795374543622	19.023910691041696	19.09190482713813	18.16875714197576	29.039935438037432	37.60329500089664
Acinetobacter sp. strain_027	38.06432972821557	23.027525946864078	18.57823984753865	28.830791677154096	28.933836987074915	27.534804000093104	44.01010615163988	56.98790233786873
Alteromonas sp. strain_028	55.774383239071774	33.741459954200415	27.2220705464289	42.24479021616588	42.39577904606383	40.34582302326839	64.48652963076528	83.50245827728355
Vibrio sp. strain_029	38.946970663394204	23.561491399079156	19.009034639147693	29.499324056669522	29.604758795469394	28.173284838351172	45.03061857175483	58.309345688441645
Pelagibacter sp. strain_030	69.71113624731596	42.17268529834426	34.02424838409982	52.800804876232135	52.989522389211544	50.427328864030805	80.60025036830281	104.3678281658827
Roseobacter sp. strain_031	29.370001898481263	17.767775910037805	14.334757592964708	22.245509439906513	22.325018023654426	21.24554015613176	33.957695050857275	43.971214304950614
Flavobacterium sp. strain_032	176.51381788443803	106.78439763254138	86.15194510126946	133.6955923801031	134.17343925666918	127.6857733594453	204.08587036190337	264.2671573808445
Pseudomonas sp. strain_033	27.33258147628532	16.53521114476334	13.340344042428134	20.70232073356319	20.77631374353526	19.77172011538722	31.60202270100644	40.92089614959859
Shewanella sp. strain_034	105.88856389973863	64.05870456901684	51.681538891844525	80.20241387630234	80.48906859903165	76.59719410925037	122.42871398882937	158.53076046003358
Marinobacter sp. strain_035	157.76043611900388	95.43928822753134	76.99889218063878	119.49135322018981	119.91843214550386	114.12003622609487	182.40314724311972	236.19058553039804
Candidatus_Actinomarina sp. strain_036	46.543249098870454	28.156961752071332	0.0	35.25291863349805	35.37891752963938	33.66824663971264	53.81346126699634	69.68209221263146
Synechococcus sp. strain_037	128.25186888768033	77.58768536401385	62.59650434154917	97.1408912361724	97.4880864625646	92.77426130139466	148.2852424880362	192.01191853386416
Prochlorococcus sp. strain_038	233.18806141857064	141.07024012128323	0.0	176.62195731177516	177.25322906226393	168.68253328424015	269.61282149463767	349.1168389240783
Nitrosopumilus sp. strain_039	7.806267825089827	4.722506245977005	3.810042551757852	5.912645330896421	5.933777958033292	5.646862983554706	9.025633134311333	11.687131538000182
Nitrospina sp. strain_040	25.132857059660697	15.204458404824091	12.266714003430069	19.036199279286194	19.10423733652771	18.18049333959874	29.058693926501785	37.62758503339347
SAR86 sp. strain_041	101.248248278295	61.25148350043659	49.416717806093025	76.68773296760591	76.96182572576745	73.2405034214774	117.06356544858157	151.58352520487824
SAR11 sp. strain_042	314.25744682136246	190.11425033211606	153.3811382627515	238.02575920797057	238.87649679441563	227.32614144474897	363.34551776697873	470.48963731334663
SAR116 sp. strain_043	249.37804765953126	150.86458908013904	121.71513895581442	188.88462222409407	189.55972246602678	180.39397286801955	288.33173807994933	373.3556304997878
Rhodobacter sp. strain_044	14.280539725447102	8.63920372198742	6.96997146845852	10.816406562296503	10.85506592270958	10.330192733283756	16.51120809711156	21.380069188571138
Bacteroides sp. strain_045	4.523740452431718	2.7366973591559804	0.0	3.4263842163204123	3.438630596074123	3.2723630652208295	5.230363937458477	6.772705074429542
Sphingomonas sp. strain_046	24.40027331826002	14.761272061236644	11.909158345591694	18.481323641511942	18.54737849507656	17.650560200695466	28.211678138907075	36.53079938112161
Loktanella sp. strain_047	8.327613089035161	5.03790104416458	4.064498033467678	6.307524126976655	6.330068106544597	6.023991380707873	9.628414283269304	12.46766210817344
