,DNA_Abundance,RNA_Activity,Activity_Score,Log2_Ratio
Nitrosopumilus sp. strain_039,0.04139030082227039,21.316511076448695,414.79638638758496,8.696936153831617
Cytophaga sp. strain_078,0.15310936517789064,13.703353379585316,84.01328375375711,6.393597972849577
Bacteroides sp. strain_045,0.020931561378383493,1.7399825383339147,56.25265782896756,5.822117056085968
Rhodobacter sp. strain_098,0.06613852867463778,3.446883385404118,45.27121084955109,5.504701435215507
Flavobacterium sp. strain_005,0.032517937623939785,1.7172953860036149,40.38990322608426,5.344299390869828
Polaribacter sp. strain_022,0.008620422459526602,0.44966803816703405,24.149185612970577,4.625634645360842
SAR116 sp. strain_016,0.09249240078753297,2.3508132775280335,22.936464161877485,4.525695088410566
SAR11 sp. strain_096,0.08795691306503522,1.8821115683928171,19.213667616733208,4.271706038806253
Candidatus_Actinomarina sp. strain_036,0.2153578184925949,4.0588652199205315,18.010758388903657,4.174337083875325
SAR116 sp. strain_097,0.14447867010912024,2.6857737727277735,17.38604928972138,4.1252198771806015
Shewanella sp. strain_007,0.10511614968556451,1.3769789274239534,11.961648571335301,3.590783719767415
SAR86 sp. strain_068,0.046779191171144166,0.6432666690846199,11.329267920454903,3.5242378296607453
Roseobacter sp. strain_031,0.15572527627372346,1.7934722994197725,10.821959931190872,3.443911701067716
Synechococcus sp. strain_010,0.038541073751263116,0.4553289061189911,9.380280882376292,3.2609728827015396
Aurantivirga sp. strain_023,0.07437886920372536,0.622480202834513,7.377204846530822,2.906066664294274
Flavobacterium sp. strain_086,0.051878847081186855,0.4174659934942055,6.746505683056407,2.7882914307808875
Pseudomonas sp. strain_006,0.187851780526626,1.2341600650079125,6.237801154596255,2.6526801508298514
Rhodobacter sp. strain_044,0.07571810862559492,0.5278450435752238,6.1579175280310885,2.649518661100239
Sphingomonas sp. strain_073,0.2856834136434744,1.6367375729952658,5.53543924844155,2.4774854400703727
Acinetobacter sp. strain_081,0.10569064249889576,0.6028059248374522,5.210498548689501,2.4051580673685606
