,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,Mean_Log2_Ratio,StdDev
gene_0001,-1.6317730977043596,-3.2983368020864914,-2.472643135282929,-1.4124522228347773,-2.3563244549118476,-1.0614293611949117,-2.012211419037329,-1.282099587547144,-1.642158985091786,-2.323943680290559,-1.9493372745982132,0.6766427000400793
gene_0002,-0.2480358156424334,0.05779904415524184,-0.2320878670148252,0.42167491472579866,1.3742451060430645,1.0087304470501919,0.3378987930835211,0.21638045790347094,1.2744515465040205,0.26967790398091246,0.4480734530788963,0.5824159026591016
gene_0003,-0.7593580440031832,0.16266096871282573,-1.642196568231275,-0.5747832862747704,0.5715314079293394,0.8819888018032134,-1.291072427283916,-0.6943559341858307,0.597823373868148,-1.0092565788990726,-0.3757018286564521,0.872308061349015
gene_0004,-1.565657118825122,-0.7127093127753129,-2.555816146919794,-1.7797369607084292,-1.3588564302117034,-0.20520374014477852,-1.606872723894739,-0.3759900873881781,-0.10242691212152583,-1.899347283628313,-1.2162616716617898,0.8230020460713003
gene_0005,0.8025940988998448,1.138390290412364,0.444790526985699,0.7026003967114676,0.6847385488009288,1.618286300390252,0.6828114612326648,1.3883796361670175,1.3421708360966513,0.10343984425685054,0.8908201939953739,0.47018185389115996
gene_0006,0.34794103484339645,0.7275607413595677,-0.14596979739213123,-0.2852207359612008,0.8776862654715228,0.9500675769656052,0.0691711694836837,0.5653134717634039,0.7964502169967985,-0.1563872415965454,0.37466127019341006,0.47204877845540183
gene_0007,-1.0464189940588544,2.004745445085365,-0.7461104662172803,-1.211488200423782,-0.9555891551856786,-0.5081264910278671,1.0699822362738505,-1.4800957842664975,-0.05944030244058188,-1.9403381675250606,-0.4872879879786387,1.2036619911681805
gene_0008,-0.9947892812390657,-0.18855430576033394,-1.4510124926093582,-0.7025943548428313,-0.7998342136405867,-1.8916006624581663,-1.3575725746580554,-2.0007323999340034,-0.33639777203808513,-0.445898154072068,-1.0168986211252553,0.637635942539014
gene_0009,2.4337342580182435,4.028030178172531,2.760178569526346,2.9613312015834334,0.01905163872919682,4.959297020492192,3.7186555302299347,3.021887905885947,4.244170540368081,2.2409784483421236,3.038731529134803,1.365748800182423
gene_0010,0.5828942117366342,1.7318740864573232,0.6224738457745221,0.2968920381321295,2.000796999513909,2.207378758076375,0.658562648500486,0.8340095565381529,3.232259934265329,1.0873156760551075,1.3254457755049969,0.9357975223588876
gene_0011,1.9419603909562486,2.639065099828514,0.958816453000581,1.7927010109627426,2.986206983021954,3.0019511018336584,1.6831652477249794,2.550942344290276,6.729381702632748,1.6165138820971312,2.5900704216348833,1.5969249152731382
gene_0012,-1.8080760020916036,-1.7247370502419355,0.9495240463917057,-1.9295277607120145,-0.6012530861290417,-0.3647024259228679,-2.1465842190730835,-1.9077772238839135,-0.9000369705946584,-2.3336045115772315,-1.2766775203834644,1.0310298276111471
gene_0013,-0.49728559152817625,0.19220226687114608,-0.27283323400729753,-0.9823123181377827,0.44036912200773703,0.7159952832682047,-0.8861716598965372,-0.8978245165241232,0.5554716150242922,-0.25635591773201827,-0.18887449506545553,0.6358812555311981
gene_0014,-2.425102868919522,-2.538099499943422,-3.0215517707980517,-2.9719389873766593,-1.7827465937392821,-1.2115028603642721,-2.9692590024343173,-3.6174569978155935,-3.143439344482826,-3.0086466139588226,-2.668974453983277,0.709664020464321
gene_0015,-3.0305349661587324,-3.264225117815202,-2.9089648647280897,-2.8655249559204736,-2.134914102681041,-1.8592236940585576,-3.0871209091498093,-2.9602451671247807,-2.0105910839955534,-2.871022527281348,-2.6992367388913587,0.49966796965289895
gene_0016,-1.3291680374639103,0.1571964893802138,-0.780936377636107,-0.9152014604219706,-0.851017250441553,-0.010135844526928714,-1.0710095111517886,-0.7075111925925935,-0.7406967375595116,-1.0933546503825724,-0.7341834572796723,0.46721668334831296
gene_0017,-2.4800456451812494,-2.424386465328648,-2.749943153732384,-2.3100627153889675,-1.3361780520442856,-1.7620773384063124,-2.8657468739550946,-2.9311626809271853,-1.6930118430732057,-2.967953465043612,-2.3520568233080943,0.5749091952380656
gene_0018,-0.730948842658091,-1.1272539894400124,-0.9793775949040789,-0.5466559432682012,-1.0312588417069075,-0.648567338656901,-0.7583860625262684,-0.9947613855124957,-0.31264015799238926,-0.8020435796029386,-0.7931893736268283,0.24974630103829007
