,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,Mean_Log2_Ratio,StdDev
gene_00001,-1.9895783972744907,-3.2743946020052737,-2.7937053327359127,-1.9310597042804476,-1.1738239017802143,-1.7989530480389964,-2.617988864774517,-1.6243361136755352,-0.8125318245081519,-2.072336074488512,-2.008870786356205,0.7393283598134204
gene_00002,-0.011624078598648474,0.9376601863979604,-0.5815191163950999,0.08202448452320033,0.49488322221267034,1.1381852497276326,-0.25602219643274055,0.5501158036032513,1.2312643645859298,-0.33408988578757587,0.32508780338365806,0.6414905611252796
gene_00003,-0.30977266446548374,-0.548990439993404,-1.2299865814460833,-1.0197494318323042,0.469575881268939,0.7816204389420928,-0.4206301791537308,-0.5932775273802382,-0.5437967871016008,-1.3151288974465596,-0.4730136188608373,0.6748090773896749
gene_00004,-1.0583728042338736,-1.3266726362878138,-2.7734777161454396,-1.5383830197814665,-0.5847154148773943,-0.6771604662001852,-1.887351717281106,-1.8445548433820866,-0.27875339786592623,-1.9955152755434755,-1.3964957291598767,0.7646141495045679
gene_00005,0.3053595151763742,1.2458637696038457,0.14256130376960946,1.1172845029820078,1.6851985237160163,1.5065687733383184,0.6758305664096229,1.1292966690911568,1.3274923157404723,0.636818101659405,0.9772274041486828,0.5135724502673574
gene_00006,0.7710399514527795,0.5297301931538576,0.4758912060227978,0.6367162594946594,1.0192886708881188,0.997415531584756,0.22757873243350157,0.2234845300892881,0.7550600861548573,0.10734044581775007,0.5743545607092366,0.3206464585073934
gene_00007,-1.5940742372523493,1.9805421380330661,-1.7732161545696334,-1.776432285613181,-0.29045998579869875,-0.29428884510189246,1.8535545708124541,-1.2769651350499804,-0.3896909552508352,-1.869684808016428,-0.5430715697807478,1.4414197277644494
gene_00008,-0.8652070444114833,-0.5728783423795831,-1.0094738811843433,-0.9141580052095346,0.5220765686371248,-1.6022093510725062,-1.3928846336484044,-2.4806689547792744,0.21295368675595902,-1.526692902246963,-0.9629142859539008,0.8799672521511265
gene_00009,3.215714505537168,3.9439804435672188,2.7746913512269256,2.5486642592189472,0.3225149112316356,4.4229677191848396,2.641063297685905,3.0386408457400877,4.353899175373613,2.198820640317119,2.946095714908346,1.2000956716236466
gene_00010,1.0977956093583252,2.075745304453496,0.8725256503542604,0.889164656096933,1.9231462177359395,1.9199577812039186,0.690534546608261,0.5292737844195483,3.171825417714717,0.7630815478007453,1.3933050515746146,0.8457256438518593
gene_00011,-2.1317295359860537,-2.184572457236216,-2.5657984272724397,-1.7089063731698702,-0.8749653179059662,-0.8388389757012727,-1.9068232816875967,-1.3063107264784835,1.0992283848828235,-2.8602925941547137,-1.5279009304709787,1.1390401566682138
gene_00012,-1.5856469940813578,-1.8265222177852671,1.6590583962881904,-1.8624043957462275,-0.9277567159963805,-0.9246389272870097,-2.3014140905783074,-2.4745535834337393,-0.22646432053154342,-1.8502439022946118,-1.2320586751446252,1.2248400992002806
gene_00013,-0.36232223742325687,-0.0560020686992774,-1.8712961755163091,-0.9547510972130432,0.1228276668153622,0.1477070188382763,-1.3634930973070731,-0.8807982766101472,0.47629106313774605,-0.9810241996063244,-0.5722861403584046,0.7552544156897082
gene_00014,-2.20163636362284,-1.540455542139793,-2.726492030736309,-2.6343204672386906,-1.1591109145803342,-2.0043734198238115,-3.4544440573458353,-2.78834667929979,-2.956082113185205,-2.774107129648553,-2.4239368717621157,0.6945912614374785
gene_00015,-3.162713820921978,-3.252952644025783,-3.4835722638938194,-3.157285830070253,-1.9176998528652351,-2.2427840166089523,-2.373045976532176,-3.0894471083447725,-1.883395306245183,-2.7406559825397836,-2.730355280204794,0.5851729272887181
gene_00016,-0.4078996949338453,-0.42364784715555687,-0.6861747015844533,-0.5590125315087703,-0.5622282877563984,0.3094654747467543,-0.901302284899232,-0.9581624242215188,0.259550153783661,-0.6055228339895762,-0.45349349775189357,0.4280370724277671
gene_00017,-2.505330786834932,-2.4797878401649798,-3.1527625708175058,-2.960005001637294,-1.9533980384763152,-1.3046033041182103,-2.7474845824447423,-1.8268692161058513,-1.585898835205886,-2.5478689054486785,-2.306400908125439,0.6094904472467861
gene_00018,-1.168164644459009,-0.7500595478886494,-1.643809039262648,-1.1047859715896904,-0.9200687716245282,-0.7235402360251044,-1.2121724224968522,-1.1006506900682076,-0.12708368141274456,-1.1673566996873037,-0.9917691704514736,0.4004858376477224
gene_00019,-2.4099706642553964,-2.409264574863663,-2.510255755604801,-2.7345905871428986,-2.089504550041752,-1.4032129556687285,-2.926883457698749,-2.4030850353316464,-0.8142130828268042,-3.1802871880341446,-2.2881267851468587,0.7063452139353892
gene_00020,2.1252640671620733,2.0108576345474787,-2.1299268157285725,1.6843956781114964,2.7485433361194542,2.8070816526921996,1.3463972842242544,1.4190085911972035,2.7470257498240445,0.9819502492523909,1.5740597427402023,1.4502251837292917
gene_00021,-0.07061392205440946,-0.16780037018534005,-0.597366150837116,0.19989131864675352,1.0187424160635765,0.9998062615473424,0.5983724882005443,-0.2756647005237872,0.8750168009713836,-1.0665351114402828,0.15138490303886648,0.7130071791411438
