	S01	S02	S03	S04	S05	S06	S07	S08
Alteromonas sp. strain_001	102.43403003718518	151.35919462730385	164.74047021564274	152.11703404824772	171.00035606799014	103.42120813824677	153.54254029485887	240.7151094625398
Vibrio sp. strain_002	16.03420860445866	23.69256486322012	25.78716334869695	23.811191020559484	26.767036107390535	16.188733615301526	24.03432843413996	37.67962929864558
Pelagibacter sp. strain_003	33.19660682443016	49.052172129525644	53.38874801504118	49.29777114856253	55.417438766842636	33.51652944462515	49.7597462400174	78.01045065420905
Roseobacter sp. strain_004	29.945663849515547	44.24849399361962	48.160389098211915	44.47004150613337	49.99041020938644	30.234256454563514	44.886775387060496	70.37088894040195
Flavobacterium sp. strain_005	272.5432982009061	402.71708632163694	438.32026410988993	404.7334480250252	454.9757636146992	275.16985478056387	408.52625178288156	640.4638169160871
Pseudomonas sp. strain_006	195.86732566018387	289.41866931299285	315.00542658944084	290.8677578688785	326.9751509124242	197.75493990844726	293.59351312945216	460.27892019195707
Shewanella sp. strain_007	218.533387728138	322.9106338362339	351.45832922010175	324.52741310336495	364.81320807831247	220.6394395415608	327.56859686999474	513.5430904075745
Marinobacter sp. strain_008	155.82859734344575	230.25639999953376	250.61277380265355	231.4092693529545	260.1356758260072	157.33035002037107	233.577832269332	366.18980873157824
Candidatus_Actinomarina sp. strain_009	0.0	40.39696996573761	43.96836177564007	40.59923330627734	45.63909226141531	27.602574453890472	40.97969339773144	64.24559189285823
Synechococcus sp. strain_010	72.262956536948	106.77762945429137	116.21756397505591	107.31225371068129	120.63365361938821	72.95936971316829	108.31788920022139	169.81451854001654
Prochlorococcus sp. strain_011	2.928470512469377	4.327184414166518	4.709739615455107	4.348850167204013	4.888702516000647	2.9566927932725915	0.0	6.8817667303628145
Nitrosopumilus sp. strain_012	7.165236417444039	10.587540225302646	11.523557319647317	10.640550915358974	11.961434869344423	7.234289294477794	10.740264743544826	16.83796554644873
Nitrospina sp. strain_013	132.80222350888639	196.23202941174256	213.58039646194536	197.21454235326695	221.6961247975558	134.0820662210463	199.06266254444802	312.07892296344835
SAR86 sp. strain_014	21.91079252850363	32.37595855162928	35.23823345262058	32.53806153943709	36.57723241725282	22.12195140366641	32.84297946179399	51.48932264009442
SAR11 sp. strain_015	100.28969462945015	148.19066869692932	161.29182308888142	148.93264364487416	167.42066562606595	101.25620732317515	150.32830860224337	235.6760230162684
SAR116 sp. strain_016	429.79075404094976	0.0	691.2149301295553	638.2497568663049	717.480040071183	433.93273713264256	644.2308688502684	1009.9878757811067
Rhodobacter sp. strain_017	263.2584000201677	388.9974785865618	423.3877412789133	390.94514767033667	439.47582775954504	265.7954761005101	394.6087396774595	618.6447468168864
Bacteroides sp. strain_018	135.58385720850836	200.34224392121865	218.0539844236515	201.3453362704988	226.33970225822395	136.89050710449618	203.23216660725507	318.61563015192974
Sphingomonas sp. strain_019	61.956973877790006	91.54924066038332	99.64287264749989	92.00761799055311	103.42914937693288	62.55406615071919	92.86983197600162	145.5959483732694
Loktanella sp. strain_020	40.81300635589241	60.306362740042594	65.63789255917173	0.0	68.1320320652155	41.20632980610127	61.17627775339007	95.9086281081355
Winogradskyella sp. strain_021	19.03734952729315	28.130084223412396	30.61699233787169	28.270928569152115	31.780391209602442	19.220816433249855	28.535858696964375	44.7368679497961
Polaribacter sp. strain_022	0.0	121.22657700791179	131.94390567478376	121.83354561096823	136.9575722459419	82.83209410233484	122.97526179944016	192.79349910708692
Aurantivirga sp. strain_023	112.59460685951267	166.37272796400902	181.08131126978026	167.20573855270536	187.96212408437532	113.67970455750422	168.77264278711553	0.0
Cytophaga sp. strain_024	0.0	16.051984678136634	17.47109919738892	16.13235526152559	18.134974240039544	10.968052866013643	16.283533420774745	25.5283814003041
Planctomyces sp. strain_025	23.161626682224185	34.224223723376795	37.24989897599114	34.395580778708926	38.665338153115904	23.384840106877643	34.7179057278025	54.428723541562654
Ruegeria sp. strain_026	41.8392032479635	61.82269803463696	67.28828314199127	62.132237721308265	69.84513496545597	42.24241637154422	62.71448607726531	98.32014210514743
Acinetobacter sp. strain_027	65.44886089110267	96.708943992105	105.25873202845167	97.19315540916186	109.25840282335976	66.07960520710456	98.1039636630203	153.80171714303512
Alteromonas sp. strain_028	10.631203381584404	15.708943416280162	17.09773054330249	15.787596428484326	17.747418148267847	10.733658504773661	15.935543813000399	24.98282343072534
Vibrio sp. strain_029	1.3546778716211214	2.0017073579314335	2.178673137048062	2.0117296941943157	0.0	1.3677331846686664	2.030581844865736	3.1834287105113632
Pelagibacter sp. strain_030	42.95726150118493	63.47477007253855	69.08641060312225	63.79258150853862	71.71158851937955	43.3712495852245	64.39038913736098	100.94752594147594
Roseobacter sp. strain_031	284.6329523154026	420.5810745824579	457.7635614481244	422.68687937883215	475.1578765079171	287.3760194119941	426.64792680974637	668.8739303566969
